,1827300.3,693748.4,1637747.3,1165841.3,912630.3,1950946.3,1378073.3,589873.29,1919105.4,1951070.3
rxn10892_c0,0,0,0,0,0,0,0,0,0,0
rxn03962_c0,1,0,0,1,1,1,1,1,1,0
rxn08941_c0,1,0,1,0,1,0,1,1,1,0
rxn02985_c0,0,0,0,0,0,0,0,0,1,0
rxn05539_c0,1,1,1,0,1,1,1,0,0,1
rxn05341_c0,1,1,1,1,1,1,1,1,1,1
rxn00106_c0,1,0,0,0,0,0,1,1,0,0
rxn00082_c0,0,0,0,0,0,1,0,0,0,0
rxn10228_c0,1,1,1,1,0,1,1,1,1,1
rxn00830_c0,1,0,1,0,1,1,0,0,1,1
rxn02373_c0,1,1,1,1,1,0,1,1,1,0
rxn01647_c0,0,0,1,0,1,0,1,0,1,0
rxn09167_c0,1,0,1,0,0,0,1,0,0,0
rxn01275_c0,1,0,1,0,1,0,1,1,1,0
rxn05447_c0,0,1,1,1,0,1,1,0,1,1
rxn08547_c0,1,0,0,0,0,0,1,1,0,0
rxn16839_c0,0,1,1,0,0,0,0,0,1,0
rxn16565_c0,0,0,0,0,0,0,0,0,0,0
rxn21863_c0,0,1,1,1,0,1,1,0,1,1
rxn08118_c0,0,0,0,0,0,0,1,0,0,0
rxn05303_c0,0,0,0,0,0,0,0,0,0,0
rxn08936_c0,0,0,0,0,0,0,0,0,0,0
rxn05200_c0,1,0,0,0,0,1,1,1,0,0
rxn01133_c0,0,0,0,0,1,0,1,1,0,0
rxn06556_c0,0,0,0,0,0,0,0,0,0,0
rxn08822_c0,1,1,1,0,1,0,1,1,1,0
rxn01986_c0,0,0,1,0,0,0,1,0,0,0
rxn10292_c0,0,0,0,0,0,0,1,0,0,0
rxn01911_c0,0,0,0,0,0,0,0,0,0,0
rxn07845_c0,1,0,0,0,1,0,1,0,0,0
rxn09105_c0,0,0,0,1,0,0,1,1,0,0
rxn00490_c0,1,0,1,0,0,0,0,0,0,0
rxn05746_c0,0,0,0,0,0,0,1,0,1,0
rxn01753_c0,0,0,0,0,0,0,0,0,0,0
rxn05031_c0,0,1,1,0,1,1,0,0,1,1
rxn00223_c0,1,1,1,0,1,0,1,0,1,0
rxn02103_c0,0,0,0,0,0,0,0,0,0,0
rxn01706_c0,0,0,0,0,0,0,1,1,1,0
rxn00549_c0,1,1,1,1,1,1,1,1,1,1
rxn10214_c0,0,0,0,0,1,0,0,0,0,0
rxn42709_c0,0,0,0,0,0,0,1,1,0,0
rxn01518_c0,0,0,0,0,1,1,1,1,0,1
rxn00100_c0,1,1,1,1,1,0,1,1,1,1
rxn02275_c0,1,1,0,1,0,0,1,1,1,0
rxn01298_c0,0,0,0,0,0,0,0,0,0,0
rxn02680_c0,1,1,1,0,1,1,1,1,1,1
rxn00829_c0,0,0,0,0,0,0,0,0,0,0
rxn02155_c0,1,1,1,1,1,1,1,1,1,1
rxn10314_c0,0,0,0,1,0,1,1,1,1,0
rxn10284_c0,0,0,0,0,0,0,0,0,0,0
rxn06979_c0,1,0,0,0,0,0,0,0,0,0
rxn09214_c0,0,0,0,0,0,0,0,0,0,0
rxn02056_c0,1,1,1,0,1,0,1,1,0,0
rxn02145_c0,0,0,0,0,0,0,0,0,0,0
rxn03513_c0,1,1,1,0,0,0,0,0,0,0
rxn05563_c0,0,0,0,0,0,0,0,0,0,0
