geneID	bh_t32_A	bh_t32_B	bh_t32_C	bh_t72_A	bh_t72_B	bh_t72_C
RUMHYD_02615	182.771	91.837	119.751	23	14	6
RUMHYD_02616	79.353	35	102.439	18.654	9	7
RUMHYD_02617	164.133	39	132.81	65.346	22	38
RUMHYD_02618	6167	2572	7392	157	153	75
RUMHYD_02619	0	0	0	0	2	1
RUMHYD_02620	2112.02	2383	2039	185	104	391
RUMHYD_02621	44	43	17	3	4	4
RUMHYD_02622	0	0	0	0	0	0
RUMHYD_02623	1852.564	1429	926	201	186	376
RUMHYD_02624	197.436	146	206	14	13	12
RUMHYD_02625	382	56	275	21	26	147
RUMHYD_02626	282.553	45	262	16.64	26	13.499
RUMHYD_02627	849.447	198	1087	12.36	22	95.501
RUMHYD_02628	27	0	7	3	16	160.171
RUMHYD_02629	15	4	15	14	17	117.829
RUMHYD_02630	7	0	11	4	39	160
RUMHYD_02631	6489	3586	7981	345	214	136
RUMHYD_02632	732	608	697	106	43	324
RUMHYD_02633	1158	1050	781	188	164	1081
RUMHYD_02634	27651.506	9367.266	27015.332	246.467	159.217	129.149
RUMHYD_02635	39171.753	17415.294	45099.998	359.274	321.412	162.183
RUMHYD_02636	36585.288	16014.776	43205.542	489.387	335.599	246.013
RUMHYD_02637	16172.877	8523.394	16542.549	176.872	98.772	75.655
RUMHYD_02638	254.654	335.751	165	43	70	133
RUMHYD_02639	907.346	1596.249	720	185	121	214
RUMHYD_02640	456	611.193	240	75	67	132
RUMHYD_02641	168	212	80	25	38	120
RUMHYD_02642	318	329	215	39	54	176
RUMHYD_02643	0	0	0	0	0	0
RUMHYD_02644	2096	1435	2379	93	91	892
RUMHYD_02645	1091	576	803	42	27	257.006
RUMHYD_02646	97.19	43.122	134	18	6	48.994
RUMHYD_02647	72.81	37.878	89	0	0	19
RUMHYD_02648	302	148	274	21	17	95
RUMHYD_02649	101	34	192	4	22	158
RUMHYD_02650	96	42	148	3	2	0
RUMHYD_02651	5	0	5	5	0	17
RUMHYD_02652	11	52	5	7	0	9
RUMHYD_02653	19	67	3	7	0	14
RUMHYD_02654	828	1079	923	88	123	355
RUMHYD_02655	26	57	51	0	0	1
RUMHYD_02656	0	6	0	0	0	0
RUMHYD_02657	778	568	865	65	20	121
RUMHYD_02658	2662	2857	3659	150	139	118
RUMHYD_02659	10	3	16	0	0	0
RUMHYD_02660	150	95	161	27	23	43.847
RUMHYD_02661	156	57.01	155	3	10	39.747
RUMHYD_02662	1	4	5	4	0	70.406
RUMHYD_02663	975	461	1069	150	82	99
RUMHYD_02664	7011.762	1452	6569	452	207	502
RUMHYD_02665	1472	1032	1209	162	77	144
RUMHYD_02666	17	12	54	9	8	73
RUMHYD_02667	5569	3449	5712.972	426	283	364
RUMHYD_02668	3280	1949	3796	239	187	269
RUMHYD_02669	154	44	216	6	17	13
RUMHYD_02670	2093.966	994	2144	190.591	71	171
RUMHYD_02671	8.034	15	12	6.409	4	5
RUMHYD_02672	4	5	3	0	0	0
RUMHYD_02674	0	0	0	0	0	0
RUMHYD_02673	8107	4947	7727.136	291	132	217.651
RUMHYD_02675	46	11	147	14	0	89.349
RUMHYD_02676	207	508	81	155	40	215.288
RUMHYD_02677	2007.158	6126	877	348	116	301.712
RUMHYD_02678	5190.842	6875	4887.984	615	342	259
RUMHYD_02679	16629.293	30121	32049	1975	1036	767
RUMHYD_02680	30.707	9	30	0	0	1
RUMHYD_02681	834	413	647	83	83	394.732
RUMHYD_02682	293	109	139	33	53	301.281
RUMHYD_02683	9595	12261	9895	826	693	514.987
RUMHYD_02684	944	1508	1039	66	60	35
RUMHYD_02685	1690.288	3438.169	1274	683	155	394.155
RUMHYD_02686	278.712	482.597	291	76	0	13.845
RUMHYD_02687	173.094	548.235	190	89	1	29
RUMHYD_02688	10156.826	8220.236	9416	1011	479	471
RUMHYD_02689	64254.747	40356	51747.041	1150	1302	795
RUMHYD_02690	4259	2525	2499	225	202	147.325
RUMHYD_02691	34946.582	48120.787	21213	1824	1840	1247.675
RUMHYD_02692	601	336	461	38	7	65.755
RUMHYD_02693	1760	1129	1938	127	68	194.245
RUMHYD_02694	0	0	2	3	0	36
RUMHYD_02695	2215	2632	2384	144	74	44
RUMHYD_02696	14	1	7	30	7	86.61
RUMHYD_02697	121	158	31	15	39	113.39
RUMHYD_02698	8207.952	4472.175	3576	8086.699	1971	1965.694
RUMHYD_02699	186.048	123.825	109	117.301	26	19.306
RUMHYD_02700	34	25	43	0	0	25
RUMHYD_02701	52	17	61	14	0	49
RUMHYD_02702	140	194	133	11	8	72
RUMHYD_02703	54	31	52	1	0	24
RUMHYD_02704	825.201	1065	1106	155	50	74
RUMHYD_02705	3532	4802	4783	458	244	423
RUMHYD_02706	2259	1563.21	3265.004	81	27	45
RUMHYD_02707	338.549	235.23	516.76	8	0	12
RUMHYD_02708	1409	333	719	255	119	183
RUMHYD_02709	125	37	74	13	11	97.441
