geneID	bh_t14_A	bh_t14_B	bh_t14_C	bh_t32_A	bh_t32_B	bh_t32_C	bh_t72_A	bh_t72_B	bh_t72_C
RUMHYD_01731	537.969	308	205.998	852.261	479.453	648.205	37.858	40	21
RUMHYD_01732	886.503	377.609	312.002	537.573	408.072	364.688	37.464	27.496	17
RUMHYD_01733	2644.465	1598.391	1397	1476.708	715.952	1159.377	86.779	49.504	89
RUMHYD_01734	6514.063	5481	4584	3446.82	1592.523	2539.731	247.899	166	154
RUMHYD_01735	2940	2273	1084	1275	109	158	263	46	72
RUMHYD_01736	2388	8070	3066	1953	844	2180	140	45	117
RUMHYD_01737	0	14	3	2	6	0	2	0	7
RUMHYD_01738	51	37	11	147	44	2	89	19	69
RUMHYD_01739	515	3401	1561	1731.079	646.554	363	705.086	295.418	485.911
RUMHYD_01740	1262	2253.909	1453.599	1254.546	310.1	186.981	494.786	233.582	265.176
RUMHYD_01741	4727	4210.091	2845.401	5017.507	1516.928	725.019	2062.276	667	1041.043
RUMHYD_01742	6942.747	14018	7214	14544.063	3551.419	2091	4346.852	2211	2967.274
RUMHYD_01743	268.253	219	119	299	52	36	36	33	60
RUMHYD_01744	0	5	0	2	0	0	0	0	0
RUMHYD_01745	10	34	3	41	6	0	32	14	34
RUMHYD_01746	331	275	108	577	106	80	108	90	66
RUMHYD_01747	1414	795	1146.224	738.884	140	98	279.885	81	116.289
RUMHYD_01748	251	260	242.776	287.116	35	51	22.115	17	60.305
RUMHYD_01749	247	66	114	354	96	20	149	79	107.405
RUMHYD_01750	586.84	306.269	397.944	189.478	26	31	95	27	89.713
RUMHYD_01751	1812.16	2651.731	1463.056	1747.522	303	308	725	426	585.287
RUMHYD_01752	82	316	172	152	46	55	26	10	29
RUMHYD_01753	1237	302	425	320.996	111	17	46.306	27	28
RUMHYD_01754	581	922	394	1537.004	363	227	193.694	66	106.615
RUMHYD_01755	794	1390	812	4616.012	1174	425.007	374	196	313.019
RUMHYD_01756	6902	12180	7109	12742.993	2792	2296.993	956	492	752.811
RUMHYD_01757	510	930	439	2460	517	349	237	146	161.554
RUMHYD_01758	8198	11861	8587.273	14939	3623.015	2287	2212	844	1094
RUMHYD_01759	307.007	272	200	321.329	80.857	62	94.73	29	21
RUMHYD_01760	1224.993	1489	944	2890.637	783.16	336	324.072	206.526	186.868
RUMHYD_01761	4553.472	11034.986	6377.231	10343.868	2544.244	1807.61	1997.525	661.474	1040.646
RUMHYD_01762	101.528	716.015	374.769	878.152	140.739	109.39	70.672	57	33.486
RUMHYD_01763	95	109.314	94	139.832	29.445	19.995	19	12.027	12.274
RUMHYD_01764	651	2455.686	1532	2161.168	490.555	261.005	486	278.973	299.726
RUMHYD_01765	173	79.785	178	85.85	15	2	5	0	8
RUMHYD_01766	478	984.215	536	931.969	172	144	87.312	55	88.577
RUMHYD_01767	275	578	255	542.181	64	83	78.688	41	36.723
RUMHYD_01768	3795	2806	2434	8619	1040	1595	770	512	651.7
RUMHYD_01769	2858.593	2864	3597	6320.466	578	1829	373.256	162.584	230.306
RUMHYD_01770	66187.407	81000	79903	172252.74	14068.564	40361	19429.383	6381.416	9712.694
RUMHYD_01771	2723	3397.611	3698	8678.02	765	1191	621.115	297	296
RUMHYD_01772	2097	3232.389	2336	12926.737	884	1400	980.356	499	765
RUMHYD_01773	3620	2971	2641	1233	126	273	340	82	206
RUMHYD_01775	6097	14363	6594	24647.618	3758	3184	3728	2272	2536
RUMHYD_01776	12485.217	29527.46	15946.674	40829.879	8195.601	5226.972	4357.734	1579.633	1891.208
RUMHYD_01777	8194.307	21145.48	12543.588	15405.031	2316.051	2844.231	2295.365	638.403	836.568
RUMHYD_01778	5127.419	16332.79	8601.34	12210.741	2097.595	2127.11	1269.557	508.062	541.371
RUMHYD_01779	13416.524	18889.963	13427.004	11224.969	2133.483	2195.042	1314.523	577.259	584.093
RUMHYD_01780	9900.533	8689.307	8330.395	6481.219	1258.195	949.645	500.821	239.643	290.76
RUMHYD_01781	1812	4688	2435	6346.026	1249	723	894	260	558
RUMHYD_01782	2618	4658	2444	3803	801	392	1000	508	598
RUMHYD_01783	611	611	410	1708.725	441.141	156	166	103	97
RUMHYD_01784	707	1009	496	2014.275	532.998	190	238.512	115	90
RUMHYD_01785	20641	29931	20637	27492.753	7839.998	4223.162	3719.484	1888	2262
RUMHYD_01786	925.995	1178.577	663.604	1192.32	272.03	236.368	169.921	63.594	173.506
RUMHYD_01787	3690.005	8400.423	4441.988	10210.881	2601.97	1224.47	1118.27	458.406	909.639
RUMHYD_01788	1593	4189	2719.408	3565.8	1235	609	861.183	222	405.855
RUMHYD_01789	605	1264.784	759.526	1007.301	363	231.042	217.63	123	133
RUMHYD_01790	10679.115	13816	10895	11862.422	11414.538	14359.718	825	701	628
RUMHYD_01791	2795.885	2772.17	2310	5032.978	3160.856	6450.182	142.085	139	167
RUMHYD_01792	45582.731	54478.83	37211	67232.575	84996.511	160545.08	4549.915	2241	1733
RUMHYD_01793	20	26	29	10	5	9	0	0	0
RUMHYD_01794	8232	8350	7177	8052	3691	6581.036	306.003	154	236
RUMHYD_01795	2760	3492	3359	3106	1478	2957	258	152.732	254.453
RUMHYD_01796	8267	5002	5643	12142.038	5550.536	9916	551.5	582.268	722.547
RUMHYD_01797	396	414	494	1175.009	412.729	805.039	71.214	47	53
RUMHYD_01798	2705	2337	2380	4838.996	1797.735	4158.961	227.283	243	225
RUMHYD_01799	83	108	104	952	527	659	77	75	231.57
RUMHYD_01800	36	40	19	328	97	202	22	32	275.054
RUMHYD_01801	239	258	264	1672	542	1437	83	136	616.376
RUMHYD_01802	0	8	14	296	58	220	6	9	119
RUMHYD_01803	21	20	15	338	60	270	3	7	43
RUMHYD_01804	21473	52405	30916	69213.866	12370	71015.042	1755	890	919
RUMHYD_01805	3073	3907	3151	15870.259	2707.358	16120.514	296	129	177
RUMHYD_01806	2035	2700	1658	15890.63	2002.642	14809.644	196	126	254.883
RUMHYD_01807	564	942	495	3611.194	380	4511	29	54	66.117
RUMHYD_01808	880	699	599	3240.881	257	2494.116	68.328	46	165.812
RUMHYD_01809	373	417	354	3122.689	268	2371.795	69.084	43	86.188
RUMHYD_01810	0	0	0	10	0	4	2.588	0	4
RUMHYD_01811	1231	758	786	4386	4984	4594	281	193	284
RUMHYD_01812	257	379	191	2088	4970	3772	105	86	47
RUMHYD_01813	24	26	11	51	38	98	9	2	72
RUMHYD_01814	100	522	272	2548	1711	2606	115	66	29
RUMHYD_01815	10	13	3	94	37	56	1	6	13.44
RUMHYD_01816	1830	3035	1812	61331.08	42534.052	51252	1141	887	751.56
RUMHYD_01817	0	0	0	0	0	0	0	0	0
RUMHYD_01818	8369	10069	8208	27373.073	14513	27508	716	475	475
RUMHYD_01819	7532.278	17860.397	12237.067	2969.144	1572.199	5743.038	349.931	96	183
RUMHYD_01820	11387	16918	12689.999	20141	8975	24417	1382	648	890
RUMHYD_01821	40	62	60	277	962	670	16	15	19
RUMHYD_01822	255	168	89	397	331	434	29	25	62
RUMHYD_01823	1377	3497	3310	2227	2337	3037	255	166	166
RUMHYD_01824	176	612	293	2391	2374	2566	125	76	67
RUMHYD_01825	519	1455	1112	1480	1055.884	1430	122	105	123.222
RUMHYD_01826	152	281	224	636	365.116	478	19	39	12
RUMHYD_01827	850	423	528.308	2158.862	1395.923	1106.059	94.603	122	234.769
RUMHYD_01828	292	316	213.692	453.138	216.077	217.941	38.397	11	9.009
RUMHYD_01829	1192	644	642	2773.241	1622.381	1441	165	68	330.296
RUMHYD_01830	627	879	581	2256.58	1288.826	1676.603	63.005	52	76.704
RUMHYD_01831	1492	1706	1264	4638.179	2569.794	3509.397	128.995	134	239
RUMHYD_01832	9820.204	14112.59	9196.712	22321.703	32621.371	53006.801	1004.029	632.286	407.381
RUMHYD_01833	7049.796	8415.41	6174.288	14827.285	25700.912	30323.422	1126.971	601.714	370.619
RUMHYD_01834	0	0	0	0	0	0	0	0	12
RUMHYD_01835	3088.25	3239	2850	3459	6773	5673	267.495	231.492	478
RUMHYD_01836	144.75	209	230	707	861.14	833	33.505	47.508	138
RUMHYD_01837	1110	990	706	5598.303	3193.86	5665.927	229	180.527	202
RUMHYD_01838	305	288	254	1444.126	902	1253	124	92.473	223
RUMHYD_01839	309	175	151	473	393	514	97	30	112
RUMHYD_01840	152	81	83	150	164	145	16	10	122
RUMHYD_01841	42	30	22.997	60.145	55	44	6.852	5	91.158
RUMHYD_01842	64	33	15.003	29.855	34	38	3.148	2	32.842
RUMHYD_01843	12	29	21	130	79	121	21	20	89
RUMHYD_01844	67	40	44	85	89	83	23	27	105
RUMHYD_01845	88	149	109	143	298	66	45	35	60
RUMHYD_01846	3054	1988	1087	231.477	86.559	72	45	68	45
