	bh_t14_A	bh_t14_B	bh_t14_C	bh_t32_A	bh_t32_B	bh_t32_C	bh_t72_A	bh_t72_B	bh_t72_C
RUMHYD_00361	1462.25738413697	2049.7440303503	1475.9283643236	1205.29398686357	1204.91414879188	1691.48457995797	513.784920360905	509.847981146734	243.396585395619
RUMHYD_00362	0	0	0	0	0	0	0	26.5545823513924	61.6604683002234
RUMHYD_00363	20.0652814289807	4.94084304836506	21.7983266115486	4.30975203884471	4.34559201203628	1.19476219668583	33.0290305946296	0	425.132702491014
RUMHYD_00364	138.784863217117	60.7017860227707	38.14707157021	40.2243523625507	72.2948489275127	11.3502408685154	80.7376303424279	84.9746635244556	243.396585395619
RUMHYD_00365	0	4.94084304836506	0	2.58585122330683	3.55548437348423	2.09083384420021	3.66989228829218	0	0
RUMHYD_00366	214.029668575794	126.344415093906	179.836194545276	62.0604293593639	68.7393645540285	89.9058553006089	40.3688151712139	37.1764152919493	408.906263464639
RUMHYD_00367	0	0	0	6.89560326215154	9.87634548190065	12.2463125160298	0	37.1764152919493	9.73586341582475
RUMHYD_00368	62.7040044655647	283.039723199198	378.745924875656	88.7808920002011	122.466683975568	210.576837165878	51.3784920360905	5.31091647027848	35.6981658580241
RUMHYD_00369	0.836053392874196	9.88168609673012	18.1652721762905	0	0.395053819276026	1.49345274585729	0	53.1091647027848	55.1698926896736
RUMHYD_00370	495.779661974398	621.134554651607	598.545718208771	576.644822797423	523.446310540734	849.177231294455	128.446230090226	169.949327048911	149.283239042646
RUMHYD_00371	5410.9375586818	5180.12101885017	6643.04003486942	5867.0091088806	4489.78665607203	7011.46195125081	1636.77196057831	1826.9552657758	1898.49336608583
RUMHYD_00372	693.924316085583	712.187233685763	681.197706610893	508.550740583676	287.994234252223	527.487509836795	124.776337801934	292.100405865316	308.302341501117
RUMHYD_00373	400.46957518674	340.918170337189	389.645088181431	191.065673722116	65.1838801805443	199.525286846534	168.81504526144	122.151078816405	243.396585395619
RUMHYD_00374	692.252209299834	1305.79423421077	931.878462643701	279.559248919727	148.14518222851	316.910672670917	84.40752263072	191.192992930025	139.547375626821
RUMHYD_00375	308.503701970578	378.327410560524	227.974165812445	114.06477062809	75.0602256624449	149.942655684072	69.7279534775513	100.907412935291	178.49082929012
RUMHYD_00376	1016.64092573502	1559.18889911977	1653.03976804243	669.448150033879	548.7297549744	662.794328611466	308.270952216543	292.100405865316	444.604429322663
RUMHYD_00377	180.587532860826	431.26501465015	208.90063002734	102.572098524504	25.2834444336657	92.2953796939805	25.6892460180452	84.9746635244556	311.547629306392
RUMHYD_00379	0	0	0	0	0	0	0	0	0
RUMHYD_00378	36.7863492864646	50.8200999260406	28.1561718732502	16.6643745501996	4.34559201203628	8.36333537680083	25.6892460180452	53.1091647027848	162.264390263746
RUMHYD_00380	46.818990000955	61.4076207439657	67.2115070522747	52.2916580713159	13.4318298553849	23.5965533845452	18.3494614414609	74.3528305838987	142.792663432096
RUMHYD_00381	3359.26253256852	2960.97665541306	3159.84909506573	7442.36713747964	10109.4272352735	9460.12707335842	4231.38580840088	6351.85609845306	2576.75851738828
RUMHYD_00382	951.428761090835	203.280399704162	524.06810228598	37.0638675340645	37.9251666504985	46.297035121576	84.40752263072	31.8654988216709	178.49082929012
RUMHYD_00383	40.1305628579614	12.7050249815101	2.72479082644357	17.2390081553789	18.9625833252492	35.2454848022321	14.6795691531687	0	35.6981658580241
RUMHYD_00384	669.678767692231	645.132935172238	549.499483332787	1327.97826156935	1197.80318004491	2116.81992197812	550.483843243826	446.116983503392	347.245795164416
RUMHYD_00385	44.3108298223324	93.8760179189361	83.5602520109362	68.6687158189258	136.293567650229	105.437763857525	14.6795691531687	74.3528305838987	243.396585395619
RUMHYD_00386	5.01632035724518	0	4.54131804407262	3.44780163107577	1.5802152771041	2.38952439337166	0	0	45.4340292738488
RUMHYD_00387	344.453997864169	365.622385579014	290.644354820647	275.824130486062	337.375961661726	180.110401150389	161.475260684856	350.520487038379	356.981658580241
RUMHYD_00388	50.999256965326	270.334698217688	315.16747225864	101.135514511556	146.564966951406	50.4787028099764	88.0774149190122	148.705661167797	51.9246048843986
RUMHYD_00389	39.2945094650872	179.282019183532	160.762658760171	212.614433916339	243.353152674032	234.173390550423	95.4171994955966	180.571159989468	344.000507359141
RUMHYD_00390	76.0808587515519	40.9384138293105	41.7801260054681	117.512572259166	83.3563558672415	97.9705001282383	55.0483843243826	154.016577638076	288.830614669467
RUMHYD_00391	178.915426075078	168.694498365607	148.955231845582	422.930333411961	415.596617878379	339.013773309605	249.552675603868	472.671565854784	548.453639091461
RUMHYD_00392	845.249980195812	1428.6094756987	1274.29384316678	1414.74793595142	2572.1954173062	3054.40955582733	689.939750198929	403.629651741164	509.510185428162
RUMHYD_00393	551.795239296969	894.292591754075	512.260675371391	903.898660947031	1025.55971484056	1590.22848378884	363.319336540925	679.797308195645	191.47198051122
RUMHYD_00394	0	5.64667776956007	6.35784526170166	0.861950407768943	0.395053819276026	1.19476219668583	0	0	0
RUMHYD_00395	89.457713037539	48.7025957624556	28.1561718732502	48.2692228350608	45.0361353974669	46.297035121576	69.7279534775513	63.7309976433417	136.302087821546
RUMHYD_00396	1240.70323502531	1247.91578707277	1770.20577357951	356.560152013753	632.481164660917	497.917145468821	245.882783315576	318.654988216709	275.849463448368
RUMHYD_00397	275.897619648485	90.3468443129611	119.890796363517	77.8628535017945	81.7761405901373	119.476219668583	14.6795691531687	164.638410578633	22.7170146369244
RUMHYD_00398	336.093463935427	251.982995466618	335.149271652559	217.498819560363	161.972065903171	297.794477523944	128.446230090226	106.21832940557	814.567239124004
RUMHYD_00399	4436.93535598336	6887.53520942089	7675.73575809154	1055.60193271437	1742.18734300727	2032.2904965626	983.531133262303	1094.04879287737	600.378243975859
