"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"RUMHYD_00125"	125.546600465922	1.8460985000397	0.7456053459558	0.464184574207992	0.642515512116116	1
"RUMHYD_00126"	62.5762859882742	1.2150472556035	0.889482862013432	0	1	1
"RUMHYD_00127"	67.2633792365075	1.69410484470301	0.736593129039255	0.263517044961013	0.79215208770256	1
"RUMHYD_00128"	64.2367865574519	1.08769215491602	0.789879407772602	0	1	1
"RUMHYD_00129"	113.550461767158	3.61502468924403	0.817739056066884	2.58642983180571	0.00969759131921131	0.0906156475638024
"RUMHYD_00130"	95.2840024393859	3.29433698620646	0.868572242262457	2.06584656853939	0.0388429693599465	0.27409530356256
"RUMHYD_00131"	126.376692386299	4.97540294370954	0.81016199439841	4.28976299522693	1.78863891918371e-05	0.000549346723785358
"RUMHYD_00132"	242.684631786629	-1.54446685292689	0.610220604058997	-0.0728701270181765	0.941909465911168	1
"RUMHYD_00134"	2.52594979410023	5.92217250585945	3.94569241392318	1.12075956307565	0.262390220843178	1
"RUMHYD_00133"	1146.16732748744	-0.0604842623618347	0.325868505728642	0	1	1
"RUMHYD_00135"	153.869950078182	1.1713851692953	0.50539488921948	0	1	1
"RUMHYD_00136"	662.991583818997	-0.168581125197956	0.312490151715001	0	1	1
"RUMHYD_00137"	251.614593363649	-0.292225654224598	0.455421737361887	0	1	1
"RUMHYD_00138"	78.8217055687449	0.826020414203885	0.660381731382153	0	1	1
"RUMHYD_00139"	5760.40486688111	-2.84332500866609	0.311348186842252	-4.31454257784614	1.59933708682964e-05	0.000509996365961991
"RUMHYD_00140"	10.0592637102334	2.18187647168421	2.21883410803168	0.307312957384229	0.758605174015538	1
"RUMHYD_00141"	9.06755081824694	5.42300469651735	2.16472460839425	1.81224192735876	0.0699488232627684	0.424312490250676
"RUMHYD_00142"	2.80544536126663	-0.960194158759503	3.63863633792252	0	1	1
"RUMHYD_00143"	81.0437075523678	-1.0505733852101	0.64272878853404	0	1	1
"RUMHYD_00144"	24.8702709599855	0.0367792041875416	1.07009210500454	0	1	1
"RUMHYD_00145"	0	NA	NA	NA	NA	NA
"RUMHYD_00146"	47.5656506297639	1.48761355746832	0.834314546129415	0	1	1
"RUMHYD_00147"	11.065653170013	-1.94052839282422	1.65092879567068	-0.266836700637506	0.789594895401566	1
"RUMHYD_00148"	836.55784715477	-1.14168369395397	0.419831431748411	0	1	1
