lactate	acetate	succinate	butyrate	formate	pH
2.427483879	3.265886331	0.545986661	0.003717077	0.877290741	6.48
2.585266135	4.141738179	0.545986661	0.003717077	0.877290741	6.4
3.217756969	7.198111451	0.545986661	0.003717077	0.877290741	6.31
3.239998359	12.44562335	0.545986661	0.003717077	0.877290741	6.09
3.187420108	17.25362283	0.545986661	0.003717077	0.877290741	5.71
3.336064435	20.10078271	0.545986661	0.003717077	0.877290741	5.47
3.128330373	22.11311525	0.545986661	0.003717077	0.877290741	5.42
3.117895204	23.35238211	0.545986661	0.003717077	0.877290741	5.38
3.049400533	24.41084682	0.545986661	0.003717077	0.877290741	5.34
3.15766016	24.67972251	0.545986661	0.003717077	0.877290741	5.38
3.031072066	25.33506598	0.545986661	0.003717077	0.877290741	5.33
2.957260213	25.33172342	0.545986661	0.003717077	0.877290741	5.41
0.655716172	2.057578275	0.545986661	0.003717077	0.877290741	6.57
0.665726331	2.188918706	0.545986661	0.003717077	0.877290741	6.65
0.679336264	2.616426293	0.545986661	0.003717077	0.877290741	6.57
1.023857724	2.882144777	0.545986661	0.003717077	0.877290741	6.6
1.455482804	3.220133563	0.545986661	0.003717077	0.877290741	6.53
2.054543416	3.649064654	0.545986661	0.003717077	0.877290741	6.48
2.701479924	5.485859271	0.545986661	0.003717077	0.877290741	6.43
2.772097457	9.202365986	0.545986661	0.003717077	0.877290741	6.36
2.70046652	15.55200435	0.545986661	0.003717077	0.877290741	6.02
2.665748849	19.32629545	0.545986661	0.003717077	0.877290741	5.56
2.666798223	24.63574123	0.545986661	0.003717077	0.877290741	5.35
2.608482422	25.24246746	0.545986661	0.003717077	0.877290741	5.3
2.677117419	25.5417514	0.545986661	0.003717077	0.877290741	5.39
2.696788521	25.70452251	0.545986661	0.003717077	0.877290741	5.34
2.656103872	25.76933784	0.545986661	0.003717077	0.877290741	5.34
0.657429043	2.114631535	0.545986661	0.003717077	0.877290741	6.57
0.663923648	2.155681863	0.545986661	0.003717077	0.877290741	6.65
0.661402935	2.624857537	0.545986661	0.003717077	0.877290741	6.53
0.993737263	2.866874403	0.545986661	0.003717077	0.877290741	6.6
1.455482804	3.220133563	0.545986661	0.003717077	0.877290741	6.57
1.990504131	3.905674342	0.545986661	0.003717077	0.877290741	6.48
2.53638087	6.616959487	0.545986661	0.003717077	0.877290741	6.39
2.527433632	11.7363312	0.545986661	0.003717077	0.877290741	6.27
2.444885142	17.76053545	0.545986661	0.003717077	0.877290741	5.85
2.429885843	21.09355963	0.545986661	0.003717077	0.877290741	5.47
2.429803295	25.21450825	0.545986661	0.003717077	0.877290741	5.35
2.424484019	25.82911924	0.545986661	0.003717077	0.877290741	5.3
2.442354745	26.02793522	0.545986661	0.003717077	0.877290741	5.35
